ARTINUMMER;ORIG;BEZEICH;BEZEICH2;GROSSE;FARBE;PREISFAKT;EK;VK;VK2;VK3;VK4;VK5;VK6;VK7;VK8;VK9;VK10;LVKDAT;UVBVK;DEK;EKMENGE;LEK;LEKDAT;INVDATUM;INVBEW;LPAND;ETIKETT;WG;LR;MATCH;EAN;KEYNUM;FKEYNUM;FMENGE;LAGER;MIN;MINWIN;MAX;SPERRMAX;NACHMENGE;NACHWIN;REKLAMA;BESTMENGE;RABATTGR;TEILEART;MWSTSCH;GEWICHT;RESERV;RABATT;ANMERK1;ANMERK2;BESTELLT;ANLAGEDAT;VPGR;PRAMIE;KALKBASIS;KALKUL;SPERRE;RABPREIS;BESTANDJN;LIEFERBAR;AUTOBEST;AUSLAUF;ARCHIV;INTERNET;INETDBT;IRABATT;WEITERE;KOMMISSION;PAKETTEIL;GERAETJN;KDZWANGJN;HATBILDER;RABATTJN;TIMESTAMP;BILDNUM;EINHMENGE;EINHTYP;ZOLLTARIF;ORIGIN;SHOPWGR;IBEZEICH;IFARBE;MARKE;IPLATZ;EBAYKAT;EBAYKAT2;INETDBT2;EBAYSKAT;EBAYSKAT2;EBAYADBT;EBAYZUST;EBAYTNO;VATYP;ASIN;RETURNFLAG;PMP;HAZARD;BLOCK;TBLOCK;VKZ;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;VORJAHR;
100;;Reifen incl. Montage;;;;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;01.03.19;0.00;0.00;1099;0.00;27.03.13;09.06.15;0.00;27.03.13;1;560;3;;;5001;0;0;;0;0;0;0;0;0;0;0;;;1;0.00;5.00;0;;;0;17.01.12;;0.00;V;0.00;N;;N;J;J;;N;N;35946;0.00;NJ0NNNJNN 0;N;N;N;N;N;N;2014021211:43:30;0;0.00;;;;0;;;;0;;;35947;;;;;0;0;;;;;;;;3;2;8;21;15;27;20;26;12;12;8;1;0;6;1;0;0;0;0;0;0;0;0;0;172;
101;;Sonstiges;;;;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;01.03.19;0.00;0.00;30589;0.00;14.09.18;09.06.15;0.00;14.09.18;1;400;3;;;5002;0;0;;0;0;0;0;0;0;0;0;;;1;0.00;652.00;0;;;0;18.01.12;;0.00;V;0.00;N;;J;J;J;;N;N;35948;0.00;JJ0NNNJNN 0N;N;N;N;N;N;N;2018081011:29:58;0;0.00;;;;0;;;;0;;;35949;;;;;0;0;;;;;;;;13;118;1656;100;104;117;241;193;1465;45;33;956;5;42;3;0;0;0;0;0;0;0;0;0;7495;
102;;Zündkerzenstecker NGK;;;;0;2.90;5.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;5.80;2.90;35;2.90;14.02.12;21.12.15;2.90;14.02.12;1;410;3;;;5084;0;0;31;5;0;0;0;20;0;0;0;;;1;0.00;0.00;0;;;0;14.02.12;;0.00;V;0.00;N;;J;J;J;;N;N;36397;0.00;JJ0NNJJNN;N;N;N;N;N;J;2012021413:02:17;0;0.00;;;;0;;;;0;;;36398;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102-22123-00-00;;BUCHSE 1;;;;0;7.62;15.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.05.15;12.95;6.72;4;6.72;21.05.15;  .  .  ;0.00;19.01.19;3;500;1;102-22123-00-000;;9865;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;25.08.14;;0.00;V;0.00;N;;J;J;J;;N;N;59392;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015052108:02:26;0;0.00;;;;0;;;;0;;;59393;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102-24522-01-00;102245220100;DICHTUNG;;;;0;1.90;4.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;3.22;1.32;1;1.32;24.06.15;  .  .  ;0.00;19.01.19;3;500;1;102-24522-01-000;;10739;0;0;;0;0;0;0;1;0;0;0;C;CP;1;0.00;0.00;0;;;0;18.06.15;;0.00;V;0.00;N;;J;J;J;;N;N;65696;0.00;JJ0NNNJNN 0N;N;N;N;N;N;J;2015062408:04:04;0;0.00;;;;0;;;;0;;;65697;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
102-25137-00-00;;RING, ANSCHLAG;;;;0;1.40;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;2.38;1.08;1;1.08;31.08.12;  .  .  ;0.00;19.01.19;3;500;1;102-25137-00-000;;6971;0;0;;0;0;0;0;0;0;0;0;C;CP;1;0.00;0.00;0;Automatisch aufgenommen;;0;30.08.12;;0.00;V;0.00;N;;J;J;J;;N;N;44162;0.00;JJ0NNNJNN 0;N;N;N;N;N;J;2012083108:01:58;0;0.00;;;;0;;;;0;;;44163;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;;Zulassungsgebühr;;;;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;09.03.12;0.00;0.00;999;0.00;03.03.12;21.12.15;0.00;03.03.12;1;900;3;;;5175;0;0;;0;0;0;0;0;0;0;0;;;3;0.00;0.00;0;;;0;01.03.12;;0.00;V;0.00;N;;J;J;J;;N;N;36736;0.00;JJ0NNNJNN;N;N;N;N;N;J;2012030309:14:33;0;0.00;;;;0;;;;0;;;36737;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109-14713-00-00;;MUTTER, SCHALLDAMP-VERBIN.;;;;0;8.49;17.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;14.43;4.09;0;0.00;  .  .  ;21.12.15;9.56;19.01.19;3;500;1;109-14713-00-000;;1187;0;0;1131;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32229;0.00;NN;;N;N;N;N;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109-25136-00-00;;BUCHSE;;;;0;2.09;4.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;05.03.97;3.55;2.23;0;0.00;08.04.98;21.12.15;1.46;19.01.19;3;500;1;109-25136-00-000;;2094;0;0;2024;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32230;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109-25315-00-00;;FLANSCH, ABSTANDHALTER;;;;0;1.21;2.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;  .  .  ;2.06;0.00;0;0.00;  .  .  ;21.12.15;0.94;19.01.19;3;500;1;109-25315-00-000;;3246;0;0;2114;0;0;0;0;0;0;0;1;C;CP;1;0.00;0.00;0;;;0;17.01.12;;0.00;V;0.00;N;;J;J;J;N;;N;32231;0.00;NN;;N;N;N;;;;0;0.00;;;;0;;;;0;;;;;;;;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
